time,rtt,bitrate,fps,droppedFrames,lostPackets,receivedPackets,lossRate,jitter,buffer,decode
2026-04-14T18:08:50.953Z,1,1069.2686397109908,25,0,0,2077,0,6,8.54298,3.326833333333333
2026-04-14T18:09:08.964Z,7,1070.7950274046314,25,0,0,2074,0,7,9.297173333333332,1.8656955555555559
2026-04-14T18:09:26.966Z,1,1069.4614051403153,25,0,0,2078,0,7,9.54001555555556,2.06536222222222
2026-04-14T18:09:44.965Z,1,1063.6390910606144,25,0,0,2026,0,7,9.781391111111116,2.0004488888888896
2026-04-14T18:10:02.957Z,1,1074.7563361493997,25,0,0,2091,0,4,9.77169999999999,2.0249977777777772
2026-04-14T18:10:20.954Z,1,1069.7576208896137,25,0,0,2083,0,7,9.738942093541203,1.5725567928730542
2026-04-14T18:10:38.956Z,1,1067.8493106537132,25,0,0,1996,0,5,8.442412416851438,1.5814124168514385
2026-04-14T18:10:56.960Z,1,1072.4719918654978,26,0,0,2073,0,3,8.97200444444445,1.5001933333333344
2026-04-14T18:11:14.959Z,1,1066.8603049066796,25,0,0,2023,0,4,9.589389755011133,1.5410423162583557
2026-04-14T18:11:32.957Z,1,1062.9699185413758,25,0,0,1957,0,6,9.616780487804874,1.4267184035476694
2026-04-14T18:11:50.953Z,1,1063.5516906065068,24,0,0,1950,0,5,9.448619153674834,1.4821224944320672
2026-04-14T18:12:08.961Z,1,1067.441746816597,25,0,0,1991,0,4,9.448427937915747,1.42746119733925
2026-04-14T18:12:26.958Z,1,1069.5080983469927,25,0,0,1991,0,3,10.255646666666678,1.4242777777777762
2026-04-14T18:12:44.960Z,1,1077.5505941360675,25,0,0,2000,0,3,10.718093333333316,1.424635555555554
2026-04-14T18:13:02.960Z,1,1060.8324074443428,26,0,0,1958,0,6,10.310635555555555,1.4375955555555588
2026-04-14T18:13:20.960Z,1,1077.9003277959887,24,0,0,1963,0,5,9.697452115812924,1.4982828507795085
2026-04-14T18:13:38.957Z,1,1052.8617148939247,25,0,0,1919,0,5,11.168082039911326,1.5078580931263854
2026-04-14T18:13:56.956Z,1,1074.7202097913723,24,0,0,1971,0,6,10.024532293986635,1.4607661469933184
2026-04-14T18:14:14.957Z,1,1073.1260832809232,26,0,0,1949,0,4,10.942354767184021,1.4908980044345908
2026-04-14T18:14:32.966Z,1,1054.719225286138,25,0,0,1958,0,4,9.996606666666663,1.5875511111111134
2026-04-14T18:14:50.956Z,1,1082.3234872290689,26,0,0,1976,0,5,8.797062222222221,1.476873333333331
2026-04-14T18:15:08.955Z,1,1064.8787941111539,24,0,0,1962,0,6,9.40084187082406,1.4560779510022321
2026-04-14T18:15:26.959Z,1,1057.9618315466832,24,0,0,1923,0,3,10.548664444444423,1.4220533333333232
2026-04-14T18:15:44.961Z,1,1073.3816626392245,25,0,0,1965,0,5,9.356506666666698,1.439757777777777
2026-04-14T18:16:02.961Z,1,1075.2388782749251,24,0,0,1940,0,4,8.836379999999998,1.4571555555555582
2026-04-14T18:16:20.956Z,1,1065.2262585524452,24,0,0,1951,0,5,9.715335555555551,1.456946666666667
2026-04-14T18:16:38.959Z,1,1076.7142523843404,25,0,0,1959,0,4,9.718230598669605,1.4169800443459
2026-04-14T18:16:56.953Z,1,1069.0832703521924,24,0,0,1967,0,4,9.160358574610253,1.4577305122494446
2026-04-14T18:17:14.961Z,1,1060.6292828621008,24,0,0,1961,0,4,8.880842222222256,1.5048600000000039
2026-04-14T18:17:32.953Z,1,1073.2366999413969,25,0,0,1965,0,4,9.977579999999952,1.4731888888888838
2026-04-14T18:17:50.967Z,1,1067.827844055172,25,0,0,1963,0,3,10.708077605321558,1.51542793791574
2026-04-14T18:18:08.959Z,1,1051.321346191257,26,0,0,1920,0,4,10.822379999999992,1.5196777777777848
2026-04-14T18:18:26.960Z,1,1067.3270670815893,24,0,0,1929,0,4,11.182565701558975,1.47909576837416
2026-04-14T18:18:44.960Z,1,1080.6859961946354,25,0,0,1974,0,5,8.813035476718412,1.6748026607538788
2026-04-14T18:19:02.961Z,1,1074.0504205401148,24,0,0,1965,0,3,7.9028953229398535,1.955893095768374